파일명,캐릭터,단계,대사,발화보정
rw7isn.mp3,ratio,Sound 1,"안녕하세요! 저는 '비(比)'의 비밀 탐색을 돕는 안내자, 레시오예요. 이 방은 소리의 비밀 방이에요. 건반과 줄, 하프를 다루며 잘 어울리는 소리를 다양하게 만들어 보면서 비의 비밀을 함께 찾아볼 거예요. 우리 함께 두 번째 비밀을 풀러 가볼까요?",
e10zba.mp3,ratio,Map 1,"안녕하세요! 저는 '비(比)'의 비밀 탐색을 돕는 안내자, 레시오예요. 이 방은 지도의 비밀 방이에요. 지도와 실제 거리를 여러 가지 방법으로 견주어 보면서 비의 비밀을 함께 찾아볼 거예요. 우리 함께 세 번째 비밀을 풀러 가볼까요?",
ahplnb.mp3,munsell,Color 15,"자, 여기서 한 걸음 더 나아가 볼까? 이렇게 생각해 보자.",
1hap3fz.mp3,munsell,Color 16,'뭉크'가 아까 그 「절규」를 더 크게 다시 그려야 하게 됐대. 2 대 5의 비로 알아낸 주황색을 더 많은 물감으로 만들어 두면 나중에 더 쓸 수 있겠지? 두 손가락으로 벌려서 비를 그대로 크게 만들어 봐.,
15ki57.mp3,kid,Color 18,"잠깐만요! 저도 색을 만들어 보고 싶어요. 그런데 왜 이렇게 하면 안 되나요? 빨강 20에 30을 더하고, 노랑 50에도 30을 더하면 똑같이 더한 거잖아요. 같은 양을 더했으니까 같은 색이 나와야 하는 거 아니에요?",
1olb3ch.mp3,munsell,Color 19,"좋은 물음이야! 말로만 따지지 말고 직접 만들어 보자. '다인'이 말한 대로 빨강 50, 노랑 80을 만들어서 목표 색과 나란히 놓고 확인해 볼까?",
19q1ftp.mp3,ratio,Color 20,지금까지 '뭉크'와 '먼셀'을 도와 색을 만드는 비의 비밀을 알아냈어요. 정말 수고했어요! 이번에는 다른 방법으로 색을 만들어 볼 거예요. 이때도 비의 비밀이 숨어 있대요. 같이 알아볼까요?,
xpjsc2.mp3,signac,Color 23,"나는 빨강 2개와 노랑 3개가 섞인 주황을 만들고 싶어. 점을 찍어보는 연습을 해보자. 위에서 물감 단추를 먼저 누르고, 아래 빈 칸을 누르면 그 색으로 점이 찍혀. 잘못 찍었으면 그 점을 한 번 더 누르면 지워져.",
nosto7.mp3,munsell,Color 7,"빨강 20mL씩 넣은 비커 두 개가 있어. 여기에 노랑 물감을 넣어보자. 노랑색 물감을 왼쪽에는 20mL, 오른쪽은 60mL 넣어서 색을 확인해봐.",
1cp9ser.mp3,ratio,Color 29,"빨강 40, 노랑 60을 넣어 주황 100mL를 만들었어요. 각각 몇 퍼센트일까요?",
eh5k2c.mp3,ratio,Color 33,세 번째 카드 문제예요. 컵 여섯 개를 부어 주황 물감 60mL를 만들었어요. 한 컵은 몇 mL일까요?,
3fraxb.mp3,signac,Color 23,"마지막으로 백 칸에 도전해 봐, 큰 붓을 쓰면 한 줄씩 칠할 수 있어!",
s6ixgb.mp3,signac,Color 24,고마워! 점을 이만큼 많이 찍었더니 드디어 완성이야. 점의 개수가 늘어나도 빨강과 노랑의 비는 그대로 2 대 3이었지! 내가 원하던 색을 연습해보고 그림을 그릴 수 있게 만들어줘서 고마워.,
1sza40h.mp3,ratio,Color 27,색깔의 비밀을 잘 찾아냈어요! 카드 숫자 6을 얻었어요! 잘 기억해두세요!,
1l85pc2.mp3,signac,Color 24,점의 개수가 늘어나도 빨강과 노랑의 비는 그대로 2 대 3이었지! 내가 원하던 색을 연습해보고 그림을 그릴 수 있게 만들어줘서 고마워.,
1nkpg0q.mp3,ratio,Color 25,시냐크와 함께 점을 찍어 주황을 표현해냈군요! 잘했어요! 지금부터는 비율을 공부해볼까요?,
163dk8b.mp3,ratio,Sound 1,"안녕하세요! 저는 '비(比)'의 비밀 탐색을 돕는 안내자, 레시오예요. 이 방은 소리의 비밀을 알아내는 방이에요. 건반과 줄, 하프를 다루며 잘 어울리는 소리를 다양하게 만들어 보면서 비의 비밀을 함께 찾아볼 거예요. 두 번째 비밀은 무엇일까요? 레시오와 함께 풀러가볼까요?",
198rl9y.mp3,ratio,Sound 1,"안녕하세요! 저는 '비(比)'의 비밀 탐색을 돕는 안내자, 레시오예요. 이 방은 소리의 비밀을 알아내는 방이에요. 두 번째 비밀은 무엇일까요? 레시오와 함께 풀러가볼까요?",
fjd4ip.mp3,ratio,Sound 5,"음정 표 완성! 도부터 한 옥타브 높은 도까지 다 들어봤어요. 1 대 2, 2 대 3, 3 대 4처럼 비가 간단할수록 두 소리가 더 잘 어울려요!",
a6uhwe.mp3,ratio,Sound 10,"이번에는 여러분이 직접 간격을 정해 봐요. 북과 트라이앵글이 몇 칸마다 울릴지 골라 재생하면, 두 소리가 몇 칸마다 다시 만나는지 알 수 있어요. 여러 가지로 바꿔 가며 충분히 만들어 보세요.",
dr80qz.mp3,ratio,Sound 19,소리의 비밀을 잘 찾아냈어요! 카드 숫자 1을 얻었어요! 잘 기억해두세요!,
litsbb.mp3,ratio,Map 2,"축척이 1 대 10,000인 지도예요. 지도에서 1센티미터는 실제로 몇 센티미터일까요?",
1bqmcqi.mp3,ratio,Map 3,지도에 다리가 3센티미터로 그려져 있어요. 실제 다리는 얼마나 길까요?,
1y165b6.mp3,ratio,Map 5,이번에는 산이에요. 지도에 산의 밑변이 5센티미터로 그려져 있어요. 실제 밑변은 얼마나 길까요?,
10kfpxq.mp3,eratos,Map 8,"남쪽 도시 시에네에서는 여름 한낮, 정오가 되면 그림자가 하나도 생기지 않는다고 하오. 해가 바로 머리 꼭대기에 있어 깊은 우물 속까지 햇빛이 곧게 들어온다고 하오. 땅과 그림자의 각도는 0도라는 뜻이지.",
1mtveim.mp3,eratos,Map 9,"그런데 같은 시각, 북쪽 도시 알렉산드리아에서는 막대에 그림자가 생긴단 말이지. 내가 그 기울기를 재어 보니 7.2도였소. 같은 시각에 같은 태양빛이 비추는데 그림자가 생기는 각도가 다르다니. 지구가 평평하다면 이런 일이 어떻게 생길 수 있겠소? 그래서 나는 지구가 둥근 원이라고 생각하기로 했소.",
dzood1.mp3,eratos,Map 11,둥근 원 전체는 360도. 360을 7.2도로 나누면 50이 나온다오. 7.2도 대 360도는 곧 1 대 50이라오. 그렇다면 1 대 50은 800킬로미터 대 지구 둘레. 나와 함께 지구의 둘레를 계산해보겠소?,
1olhw5b.mp3,ratio,Map 13,이제 지도의 비밀 카드를 완성해 봐요. 낱말 카드를 놓아 빈칸을 채워 보세요.,
18q0fwm.mp3,ratio,Map 14,지도의 비밀을 잘 찾아냈어요! 카드 숫자 8을 얻었어요! 잘 기억해두세요!,
1iqb5tx.mp3,ratio,Sound 6,잘 어울리는 화음 속에 간단한 비가 숨어 있다는 것까지 찾아냈어요. 그런데 왜 하필 간단한 비여야 잘 어울릴까요? 리듬을 듣고 보고 만들면서 그 이유까지 찾아봐요!,
1ppqj5y.mp3,ratio,Map 5,지도를 복사기로 더 잘 보이게 확대했어요. 이때는 다리가 몇 센티미터가 될까요?,
y5r21v.mp3,ratio,Sound 6,"잘 어울리는 두 음의 비밀은 진동수의 비가 간단하다는 것까지 알아봤어요. 그런데 왜 하필 간단한 비여야 잘 어울릴까요? 저와 함께 리듬을 듣고, 보고, 만들면서 그 이유까지 찾아봐요!",
10xgpmc.mp3,ratio,Map 4,지도에 산의 밑변이 5센티미터로 그려져 있어요. 실제 밑변은 얼마나 길까요?,
1fstxev.mp3,ratio,Sound 11,"리듬으로 비를 잘 느껴봤나요? 재밌죠? 이번에는 비율을 이용해서 악기를 만들어보려고 해요. 먼저 줄을 길게, 짧게 조절해 보면서 소리가 높아지는지 낮아지는지 알아보세요.",
ies8oo.mp3,ratio,Sound 10,"같은 12칸을 다른 단위로 다시 세어 볼까요? 2칸씩 묶고, 3칸씩도 묶어 보고, 다시 풀어 보세요. 단위가 커지면 세는 횟수가 어떻게 달라지는지 살펴봐요.",
8c9pzq.mp3,ratio,Sound 13,"라 음 440Hz는 악기를 조율할 때 기준이 되는 음이에요. 라 줄이 72센티미터일 때, 시 줄은 몇 센티미터일까요? 슬라이더를 움직이면서 소리를 들어보고, 시 음이 나오는 자리를 찾아보세요. 이때 72cm를 기준으로 몇 칸인지도 확인해보세요.",
mqq36d.mp3,ratio,Sound 14,"라 줄이 72센티미터일 때, 파′ 줄은 몇 센티미터일까요? 슬라이더를 움직이면서 소리를 들어보고, 파′ 음이 나오는 자리를 찾아보세요. 이때 72cm를 기준으로 몇 칸인지도 확인해보세요.",
mtvjpx.mp3,ratio,Sound 15,"라 줄이 72센티미터일 때, 솔′ 줄은 몇 센티미터일까요? 슬라이더를 움직이면서 소리를 들어보고, 솔′ 음이 나오는 자리를 찾아보세요. 이때 72cm를 기준으로 몇 칸인지도 확인해보세요.",
1u0jnbq.mp3,ratio,Sound 13,"라 음 440Hz는 악기를 조율할 때 기준이 되는 음이에요. 라 줄이 72센티미터일 때, 솔 줄은 몇 센티미터일까요? 슬라이더를 움직이면서 소리를 들어보고, 솔 음이 나오는 자리를 찾아보세요. 이때 72cm를 기준으로 몇 칸인지도 확인해보세요.",
1403897.mp3,ratio,Sound 14,"이번에는 귀 대신 칸으로 구해 봐요. 미 줄은 3칸 중 2칸이에요. 72센티미터를 3등분하면 한 칸은 몇 센티미터일까요? 한 칸을 먼저 구하고, 그 다음 2칸의 길이를 구해 보세요.",
fgd6tn.mp3,ratio,Map 5,지도를 복사기로 더 잘 보이게 확대했어요. 백이십 퍼센트로 확대하면 다리는 몇 센티미터가 될까요?,
37lny5.mp3,ratio,Map 6,이번에는 백오십 퍼센트로 확대하면 다리는 몇 센티미터가 될까요?,
9vk6pl.mp3,ratio,Map 7,마지막으로 이백 퍼센트로 확대하면 다리는 몇 센티미터가 될까요?,
1mav916.mp3,ratio,Map 8,"지도의 비밀을 잘 알아봤어요! 축척을 써서 실제 거리를 얼마나 작게 줄여서 나타내는지 비율을 알 수 있었죠? 배율을 이용해서 확대해보는 문제도 풀어봤어요. 잘 하고 있어요! 이번에는 정말 멋진 문제를 풀어볼까요? 지구가 둥글다는 걸 본 적 없던 옛날 시절, 정말 위대한 수학자가 지구가 둥글다는 것과 지구의 둘레가 얼마인지 알아내려고 했어요. 함께 이야기를 들어보세요.",
z7scqz.mp3,ratio,Map 8,지도의 비밀을 잘 알아봤어요! 이번에는 비를 이용해서 알아낼 수 있는 멋진 문제를 풀러 가봐요. 위대한 수학자가 기다리고 있답니다.,
14hufy4.mp3,ratio,Map 4,지도에 도로가 5센티미터로 그려져 있어요. 실제 도로는 얼마나 길까요?,
h7rt0f.mp3,eratos,Map 10,"남쪽 도시 시에네에서는 여름 한낮, 정오가 되면 그림자가 하나도 생기지 않는다고 하오. 해가 바로 머리 꼭대기에 있어 햇빛이 막대와 나란히 내려오기 때문이지. 막대와 햇빛이 이루는 각이 0도라는 뜻이라오.",
j1c5cv.mp3,eratos,Map 11,"그런데 같은 시각, 북쪽 도시 알렉산드리아에서는 막대에 그림자가 생긴단 말이지. 햇빛이 비스듬히 내려오기 때문이오. 막대와 햇빛이 이루는 각을 재어 보니 7.2도였소. 같은 시각에 같은 햇빛이 비추는데 각도가 다르다니. 지구가 평평하다면 이런 일이 어떻게 생길 수 있겠소? 그래서 나는 지구가 둥근 원이라고 생각하기로 했소.",
1olkcga.mp3,ratio,Map 2,"지도는 넓은 땅을 종이 위에 담으려고 실제 거리를 일정한 비율로 줄여서 그린 그림이에요. 얼마나 줄였는지를 나타낸 것이 축척이에요. 지도 오른쪽 아래를 보면 축척 1 대 10,000이라고 적혀 있죠? 지도에서 1만큼이 실제로는 10,000만큼이라는 뜻이에요. 그럼 이 지도에서 1센티미터는 실제로 몇 센티미터일까요?",
19ysjan.mp3,ratio,Map 2,"지도는 넓은 땅을 종이 위에 담으려고 실제 거리를 일정한 비율로 줄여서 그린 그림이에요. 얼마나 줄였는지를 나타낸 것이 축척이에요. 지도 오른쪽 아래를 보면 축척 1 대 10,000이라고 적혀 있죠? 지도에서 1만큼이 실제로는 10,000만큼이라는 뜻이에요.",
14gkppf.mp3,ratio,Map 9,지도의 비밀을 잘 알아봤어요! 이번에는 비를 이용해서 지도가 아닌 지구의 비밀도 풀어봐요! 위대한 수학자가 기다리고 있답니다.,
x9dxf0.mp3,ratio,Color 1,"안녕하세요! 저는 '비(比)'의 비밀 탐색을 돕는 안내자, 레시오예요. 이 방은 색깔의 비밀 방이에요. 색깔의 비밀 방에는 여러분의 도움이 필요한 화가와 과학자가 기다리고 있어요. 우리 함께 비밀을 풀어가볼까요?",
v77v39.mp3,munch,Color 2,안녕? 만나서 반가워. 나는 화가 '뭉크'라고 해. 나는 '절규'라는 작품을 그리던 중이야. 이 작품에서 중요한 노을 진 하늘을 칠해야 하는데 물감이 말라 버렸어. 노을색을 찾기 위해 과학자 먼셀이 나의 주황색을 만들어주겠다고 했어. 너도 먼셀을 도와 색을 만들어줄래?,
1uorf61.mp3,munsell,Color 3,안녕? 만나서 반가워. 나는 색깔을 연구하는 과학자 먼셀이야. 이렇게 색상환을 만든 사람이지. 나와 함께 뭉크의 노을색을 만들어볼까?,
mpqjdy.mp3,munsell,Color 7,"아래 두 비커에 빨강 물감을 20mL 넣었어. 여기에 노랑 물감을 다르게 넣어볼거야. 왼쪽에는 20mL, 오른쪽은 60mL 넣어서 색을 확인해봐.",
jpplnk.mp3,munsell,Color 8,과학자는 실험 전에 가설을 세워. 가설은 어떤 것이 맞을 거라고 예상하는 과학자의 생각이야. 가설이 맞는지 틀린지 알아내려면 가설에 맞는 조건을 갖추어 실험을 해야 해. 우리가 가진 목표색을 잘 봐. 어떤 색이 더 많을 것인지부터 예상해보자.,
19zl0po.mp3,munsell,Color 11,"완벽해. 그런데 이 색과 같은 색을 다른 양으로도 만들 수 있을까? 앞에서 만든 양과 다르게, 한 번만 더 만들어 봐.",
da3dd8.mp3,munsell,Color 12,양이 달라도 전부 같은 색이었어. 무엇이 달라지지 않았을까? 그리고 그것을 수첩에 어떻게 적어 두면 좋을까?,
17b3i9o.mp3,ratio,Color 15,"잠깐, 더 생각해봐요! 여기 질문이 있는 학생이 있어요. 잠깐 대화를 들어볼까요?",
1ytzswg.mp3,munsell,Color 17,"좋은 물음이야, 다인아. 같은 수를 더하는 것과 같은 수를 곱하는 것은 다른 일이란다. 말로만 따지지 말고, 네 말대로 직접 만들어서 확인해 보자.",
1phczhl.mp3,munsell,Color 18,"다인이가 말한 대로 빨강 50, 노랑 80을 만들어서, 목표 색과 나란히 놓고 확인해 볼까?",
16zqy90.mp3,ratio,Color 27,100칸 중 빨강으로 칠해진 칸은 40칸이에요. 전체 100칸에 대한 빨강의 비율은 얼마일까요?,
vcu9vl.mp3,ratio,Color 27,"100칸 중 빨강으로 칠해진 칸은 40칸이에요. 전체 100칸에 대한 빨강의 비율은 얼마일까요? 아래 낱말을 손가락이나 마우스로 누른 채 끌어서, 빈칸 위에 놓아 주세요.",
1irmrji.mp3,ratio,Color 28,"이어서 비율 문제예요. 만약 물감 빨강 40mL, 노랑 60mL을 넣어 주황 100mL를 만들었다면, 각 색깔은 전체의 몇 퍼센트일까요?",
hvu3dr.mp3,ratio,Sound 1,이 방은 소리의 비밀을 알아내는 방이에요. 아름다운 소리의 비밀을 찾으러 가볼까요?,
1fcvula.mp3,ratio,Sound 1,이 방은 소리의 비밀을 알아내는 방이에요. 색깔 방에서는 물감의 양을 비로 맞추어 주황을 만들었지요. 이번에는 같은 비를 귀로 찾아볼 거예요. 아름다운 소리의 비밀을 찾으러 가볼까요?,
1dh87w5.mp3,munsell,Color 8,과학자는 실험 전에 가설을 세워. 가설은 어떤 것이 맞을 거라고 예상하는 과학자의 생각이야. 가설이 맞는지 틀린지 알아내려면 가설에 맞는 조건을 갖추어 실험을 해야 해. 우리가 가진 목표색을 잘 봐. 어떤 색이 더 많아 보이니? 고르면 그 가설대로 바로 실험해 볼 거야.,
1gz1gy0.mp3,munsell,Color 11,양이 달라도 전부 같은 색이었어. 무엇이 달라지지 않았을까?,
1dax7lw.mp3,munsell,Color 13,모두 간단히 하면 언제나 2 대 5였어. 수첩에는 뭐라고 적으면 좋을까?,
1bhnlpx.mp3,ratio,Color 15,"잠깐, 더 생각해봐요! 여기 질문이 있는 학생이 있어요. 우리 같이 들어볼까요?",
wfk5fg.mp3,munsell,Color 17,"좋은 질문이에요. 하지만 같은 수를 더하는 것과 같은 수를 곱하는 것은 다른 일이란다. 네가 직접 해보았지? 빨강이 20일 때 노랑이 50이라면, 빨강이 50이 되려면 20에 2.5를 곱해야 해. 그러니 노랑도 50에 2.5를 곱한 125를 넣어야 같은 색이 된단다.",
1szjzby.mp3,kid,Color 16,"잠깐만요! 저도 색을 만들어 보고 싶어요. 그런데 왜 이렇게 하면 안 되나요? 빨강 20에 40을 더하고, 노랑 50에도 40을 더하면 똑같이 더한 거잖아요. 그러면 빨강 60, 노랑 90이 되는데요. 같은 양을 더했으니까 같은 색이 나와야 하는 거 아니에요?",
2ua18a.mp3,munsell,Color 17,좋은 질문이에요. 하지만 같은 수를 더하는 것과 같은 수를 곱하는 것은 다른 일이란다. 빨강이 20에서 60이 되었으니 3배가 되었지? 그러면 노랑도 3배가 되어야 해. 50의 3배는 150이란다. 90이 아니라 150을 넣어야 같은 색이 된단다.,
10uhrl9.mp3,ratio,Sound 9,"여러 리듬을 차례로 들어 보세요. 두 소리가 다시 만나기까지 몇 칸이 걸리는지, 어떤 리듬일 때 두 소리가 자주 만나는지 비교해보세요. 왜 간단한 비가 잘 어울리는지 보일 거예요.",
cpya95.mp3,munsell,Color 14,수첩에 적은 이 비가 바로 물감 만드는 법이야. 빨강 20mL에 노랑 50mL를 섞으면 노을빛 주황 70mL가 나오지. 이 물감을 예쁘게 포장해서 뭉크에게 선물하자!,
1n99xk1.mp3,signac,26,점을 많이 찍는다고 색이 진해질까? 두 그림을 견주어 보자. 어느 쪽 주황이 더 붉을까?,
